input,label
"public void O4SDMCN ( ) throws Throwable { String data ; data = """" ; { Socket socket = null ; BufferedReader readerBuffered = null ; InputStreamReader readerInputStream = null ; try { socket = new Socket ( ""host.example.org"" , 39544 ) ; readerInputStream = new InputStreamReader ( socket . getInputStream ( ) , ""UTF-8"" ) ; readerBuffered = new BufferedReader ( readerInputStream ) ; data = readerBuffered . readLine ( ) ; } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error with stream reading"" , exceptIO ) ; } finally { try { if ( readerBuffered != null ) { readerBuffered . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing BufferedReader"" , exceptIO ) ; } try { if ( readerInputStream != null ) { readerInputStream . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing InputStreamReader"" , exceptIO ) ; } try { if ( socket != null ) { socket . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing Socket"" , exceptIO ) ; } } } Connection dbConnection = null ; try { dbConnection = IO . getDBConnection ( ) ; dbConnection . setCatalog ( data ) ; } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error getting database connection"" , exceptSql ) ; } finally { try { if ( dbConnection != null ) { dbConnection . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing Connection"" , exceptSql ) ; } } }",1
public void 4F6PPRZ ( ) throws Throwable { goodG2B ( ) ; },0
"private void BPLTLD2G2B ( ) throws Throwable { String data ; data = ""foo"" ; Connection dbConnection = null ; try { dbConnection = IO . getDBConnection ( ) ; dbConnection . setCatalog ( data ) ; } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error getting database connection"" , exceptSql ) ; } finally { try { if ( dbConnection != null ) { dbConnection . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing Connection"" , exceptSql ) ; } } }",0
"public void PZRDEHC ( ) throws Throwable { String data ; if ( true ) { data = """" ; { Socket socket = null ; BufferedReader readerBuffered = null ; InputStreamReader readerInputStream = null ; try { socket = new Socket ( ""host.example.org"" , 39544 ) ; readerInputStream = new InputStreamReader ( socket . getInputStream ( ) , ""UTF-8"" ) ; readerBuffered = new BufferedReader ( readerInputStream ) ; data = readerBuffered . readLine ( ) ; } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error with stream reading"" , exceptIO ) ; } finally { try { if ( readerBuffered != null ) { readerBuffered . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing BufferedReader"" , exceptIO ) ; } try { if ( readerInputStream != null ) { readerInputStream . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing InputStreamReader"" , exceptIO ) ; } try { if ( socket != null ) { socket . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing Socket"" , exceptIO ) ; } } } } else { data = null ; } Connection dbConnection = null ; try { dbConnection = IO . getDBConnection ( ) ; dbConnection . setCatalog ( data ) ; } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error getting database connection"" , exceptSql ) ; } finally { try { if ( dbConnection != null ) { dbConnection . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing Connection"" , exceptSql ) ; } } }",1
"private void CH3LKSIG2B1 ( ) throws Throwable { String data ; if ( false ) { data = null ; } else { data = ""foo"" ; } Connection dbConnection = null ; try { dbConnection = IO . getDBConnection ( ) ; dbConnection . setCatalog ( data ) ; } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error getting database connection"" , exceptSql ) ; } finally { try { if ( dbConnection != null ) { dbConnection . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing Connection"" , exceptSql ) ; } } }",0
"private void OIIWEQRG2B2 ( ) throws Throwable { String data ; if ( true ) { data = ""foo"" ; } else { data = null ; } Connection dbConnection = null ; try { dbConnection = IO . getDBConnection ( ) ; dbConnection . setCatalog ( data ) ; } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error getting database connection"" , exceptSql ) ; } finally { try { if ( dbConnection != null ) { dbConnection . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing Connection"" , exceptSql ) ; } } }",0
public void AG75K99 ( ) throws Throwable { goodG2B1 ( ) ; goodG2B2 ( ) ; },0
"public void 151HOMQ ( ) throws Throwable { String data ; if ( 5 == 5 ) { data = """" ; { Socket socket = null ; BufferedReader readerBuffered = null ; InputStreamReader readerInputStream = null ; try { socket = new Socket ( ""host.example.org"" , 39544 ) ; readerInputStream = new InputStreamReader ( socket . getInputStream ( ) , ""UTF-8"" ) ; readerBuffered = new BufferedReader ( readerInputStream ) ; data = readerBuffered . readLine ( ) ; } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error with stream reading"" , exceptIO ) ; } finally { try { if ( readerBuffered != null ) { readerBuffered . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing BufferedReader"" , exceptIO ) ; } try { if ( readerInputStream != null ) { readerInputStream . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing InputStreamReader"" , exceptIO ) ; } try { if ( socket != null ) { socket . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing Socket"" , exceptIO ) ; } } } } else { data = null ; } Connection dbConnection = null ; try { dbConnection = IO . getDBConnection ( ) ; dbConnection . setCatalog ( data ) ; } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error getting database connection"" , exceptSql ) ; } finally { try { if ( dbConnection != null ) { dbConnection . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing Connection"" , exceptSql ) ; } } }",1
"private void PUU5A7AG2B1 ( ) throws Throwable { String data ; if ( 5 != 5 ) { data = null ; } else { data = ""foo"" ; } Connection dbConnection = null ; try { dbConnection = IO . getDBConnection ( ) ; dbConnection . setCatalog ( data ) ; } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error getting database connection"" , exceptSql ) ; } finally { try { if ( dbConnection != null ) { dbConnection . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing Connection"" , exceptSql ) ; } } }",0
"private void 87KBPZWG2B2 ( ) throws Throwable { String data ; if ( 5 == 5 ) { data = ""foo"" ; } else { data = null ; } Connection dbConnection = null ; try { dbConnection = IO . getDBConnection ( ) ; dbConnection . setCatalog ( data ) ; } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error getting database connection"" , exceptSql ) ; } finally { try { if ( dbConnection != null ) { dbConnection . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing Connection"" , exceptSql ) ; } } }",0
