input,label
"public void SOK7D2V ( ) throws Throwable { String password ; password = """" ; { Socket socket = null ; BufferedReader readerBuffered = null ; InputStreamReader readerInputStream = null ; try { socket = new Socket ( ""host.example.org"" , 39544 ) ; readerInputStream = new InputStreamReader ( socket . getInputStream ( ) , ""UTF-8"" ) ; readerBuffered = new BufferedReader ( readerInputStream ) ; password = readerBuffered . readLine ( ) ; } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error with stream reading"" , exceptIO ) ; } finally { try { if ( readerBuffered != null ) { readerBuffered . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing BufferedReader"" , exceptIO ) ; } try { if ( readerInputStream != null ) { readerInputStream . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing InputStreamReader"" , exceptIO ) ; } try { if ( socket != null ) { socket . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing Socket"" , exceptIO ) ; } } } Connection connection = null ; PreparedStatement preparedStatement = null ; ResultSet resultSet = null ; try { connection = DriverManager . getConnection ( ""data-url"" , ""root"" , password ) ; preparedStatement = connection . prepareStatement ( ""select * from test_table"" ) ; resultSet = preparedStatement . executeQuery ( ) ; } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error with database connection"" , exceptSql ) ; } finally { try { if ( resultSet != null ) { resultSet . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing ResultSet"" , exceptSql ) ; } try { if ( preparedStatement != null ) { preparedStatement . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing PreparedStatement"" , exceptSql ) ; } try { if ( connection != null ) { connection . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing Connection"" , exceptSql ) ; } } }",1
public void XRFMKH5 ( ) throws Throwable { goodG2B ( ) ; goodB2G ( ) ; },0
"private void 6QNY5MMG2B ( ) throws Throwable { String password ; password = ""Password1234!"" ; Connection connection = null ; PreparedStatement preparedStatement = null ; ResultSet resultSet = null ; try { connection = DriverManager . getConnection ( ""data-url"" , ""root"" , password ) ; preparedStatement = connection . prepareStatement ( ""select * from test_table"" ) ; resultSet = preparedStatement . executeQuery ( ) ; } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error with database connection"" , exceptSql ) ; } finally { try { if ( resultSet != null ) { resultSet . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing ResultSet"" , exceptSql ) ; } try { if ( preparedStatement != null ) { preparedStatement . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing PreparedStatement"" , exceptSql ) ; } try { if ( connection != null ) { connection . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing Connection"" , exceptSql ) ; } } }",0
"private void U8JW262B2G ( ) throws Throwable { String password ; password = """" ; { Socket socket = null ; BufferedReader readerBuffered = null ; InputStreamReader readerInputStream = null ; try { socket = new Socket ( ""host.example.org"" , 39544 ) ; readerInputStream = new InputStreamReader ( socket . getInputStream ( ) , ""UTF-8"" ) ; readerBuffered = new BufferedReader ( readerInputStream ) ; password = readerBuffered . readLine ( ) ; } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error with stream reading"" , exceptIO ) ; } finally { try { if ( readerBuffered != null ) { readerBuffered . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing BufferedReader"" , exceptIO ) ; } try { if ( readerInputStream != null ) { readerInputStream . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing InputStreamReader"" , exceptIO ) ; } try { if ( socket != null ) { socket . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing Socket"" , exceptIO ) ; } } } if ( password != null ) { { Cipher aesCipher = Cipher . getInstance ( ""AES"" ) ; SecretKeySpec secretKeySpec = new SecretKeySpec ( ""ABCDEFGHABCDEFGH"" . getBytes ( ""UTF-8"" ) , ""AES"" ) ; aesCipher . init ( Cipher . DECRYPT_MODE , secretKeySpec ) ; password = new String ( aesCipher . doFinal ( password . getBytes ( ""UTF-8"" ) ) , ""UTF-8"" ) ; } Connection connection = null ; PreparedStatement preparedStatement = null ; ResultSet resultSet = null ; try { connection = DriverManager . getConnection ( ""data-url"" , ""root"" , password ) ; preparedStatement = connection . prepareStatement ( ""select * from test_table"" ) ; resultSet = preparedStatement . executeQuery ( ) ; } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error with database connection"" , exceptSql ) ; } finally { try { if ( resultSet != null ) { resultSet . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing ResultSet"" , exceptSql ) ; } try { if ( preparedStatement != null ) { preparedStatement . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing PreparedStatement"" , exceptSql ) ; } try { if ( connection != null ) { connection . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing Connection"" , exceptSql ) ; } } } }",0
"public void 3SWHMUC ( ) throws Throwable { String password ; if ( true ) { password = """" ; { Socket socket = null ; BufferedReader readerBuffered = null ; InputStreamReader readerInputStream = null ; try { socket = new Socket ( ""host.example.org"" , 39544 ) ; readerInputStream = new InputStreamReader ( socket . getInputStream ( ) , ""UTF-8"" ) ; readerBuffered = new BufferedReader ( readerInputStream ) ; password = readerBuffered . readLine ( ) ; } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error with stream reading"" , exceptIO ) ; } finally { try { if ( readerBuffered != null ) { readerBuffered . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing BufferedReader"" , exceptIO ) ; } try { if ( readerInputStream != null ) { readerInputStream . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing InputStreamReader"" , exceptIO ) ; } try { if ( socket != null ) { socket . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing Socket"" , exceptIO ) ; } } } } else { password = null ; } if ( true ) { Connection connection = null ; PreparedStatement preparedStatement = null ; ResultSet resultSet = null ; try { connection = DriverManager . getConnection ( ""data-url"" , ""root"" , password ) ; preparedStatement = connection . prepareStatement ( ""select * from test_table"" ) ; resultSet = preparedStatement . executeQuery ( ) ; } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error with database connection"" , exceptSql ) ; } finally { try { if ( resultSet != null ) { resultSet . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing ResultSet"" , exceptSql ) ; } try { if ( preparedStatement != null ) { preparedStatement . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing PreparedStatement"" , exceptSql ) ; } try { if ( connection != null ) { connection . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing Connection"" , exceptSql ) ; } } } }",1
"private void J36UVN7G2B1 ( ) throws Throwable { String password ; if ( false ) { password = null ; } else { password = ""Password1234!"" ; } if ( true ) { Connection connection = null ; PreparedStatement preparedStatement = null ; ResultSet resultSet = null ; try { connection = DriverManager . getConnection ( ""data-url"" , ""root"" , password ) ; preparedStatement = connection . prepareStatement ( ""select * from test_table"" ) ; resultSet = preparedStatement . executeQuery ( ) ; } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error with database connection"" , exceptSql ) ; } finally { try { if ( resultSet != null ) { resultSet . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing ResultSet"" , exceptSql ) ; } try { if ( preparedStatement != null ) { preparedStatement . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing PreparedStatement"" , exceptSql ) ; } try { if ( connection != null ) { connection . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing Connection"" , exceptSql ) ; } } } }",0
"private void 81WVK6OG2B2 ( ) throws Throwable { String password ; if ( true ) { password = ""Password1234!"" ; } else { password = null ; } if ( true ) { Connection connection = null ; PreparedStatement preparedStatement = null ; ResultSet resultSet = null ; try { connection = DriverManager . getConnection ( ""data-url"" , ""root"" , password ) ; preparedStatement = connection . prepareStatement ( ""select * from test_table"" ) ; resultSet = preparedStatement . executeQuery ( ) ; } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error with database connection"" , exceptSql ) ; } finally { try { if ( resultSet != null ) { resultSet . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing ResultSet"" , exceptSql ) ; } try { if ( preparedStatement != null ) { preparedStatement . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing PreparedStatement"" , exceptSql ) ; } try { if ( connection != null ) { connection . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing Connection"" , exceptSql ) ; } } } }",0
"private void 72WZ2TLB2G1 ( ) throws Throwable { String password ; if ( true ) { password = """" ; { Socket socket = null ; BufferedReader readerBuffered = null ; InputStreamReader readerInputStream = null ; try { socket = new Socket ( ""host.example.org"" , 39544 ) ; readerInputStream = new InputStreamReader ( socket . getInputStream ( ) , ""UTF-8"" ) ; readerBuffered = new BufferedReader ( readerInputStream ) ; password = readerBuffered . readLine ( ) ; } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error with stream reading"" , exceptIO ) ; } finally { try { if ( readerBuffered != null ) { readerBuffered . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing BufferedReader"" , exceptIO ) ; } try { if ( readerInputStream != null ) { readerInputStream . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing InputStreamReader"" , exceptIO ) ; } try { if ( socket != null ) { socket . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing Socket"" , exceptIO ) ; } } } } else { password = null ; } if ( false ) { IO . writeLine ( ""Benign, fixed string"" ) ; } else { if ( password != null ) { { Cipher aesCipher = Cipher . getInstance ( ""AES"" ) ; SecretKeySpec secretKeySpec = new SecretKeySpec ( ""ABCDEFGHABCDEFGH"" . getBytes ( ""UTF-8"" ) , ""AES"" ) ; aesCipher . init ( Cipher . DECRYPT_MODE , secretKeySpec ) ; password = new String ( aesCipher . doFinal ( password . getBytes ( ""UTF-8"" ) ) , ""UTF-8"" ) ; } Connection connection = null ; PreparedStatement preparedStatement = null ; ResultSet resultSet = null ; try { connection = DriverManager . getConnection ( ""data-url"" , ""root"" , password ) ; preparedStatement = connection . prepareStatement ( ""select * from test_table"" ) ; resultSet = preparedStatement . executeQuery ( ) ; } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error with database connection"" , exceptSql ) ; } finally { try { if ( resultSet != null ) { resultSet . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing ResultSet"" , exceptSql ) ; } try { if ( preparedStatement != null ) { preparedStatement . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing PreparedStatement"" , exceptSql ) ; } try { if ( connection != null ) { connection . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing Connection"" , exceptSql ) ; } } } } }",0
"private void QE8YVPSB2G2 ( ) throws Throwable { String password ; if ( true ) { password = """" ; { Socket socket = null ; BufferedReader readerBuffered = null ; InputStreamReader readerInputStream = null ; try { socket = new Socket ( ""host.example.org"" , 39544 ) ; readerInputStream = new InputStreamReader ( socket . getInputStream ( ) , ""UTF-8"" ) ; readerBuffered = new BufferedReader ( readerInputStream ) ; password = readerBuffered . readLine ( ) ; } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error with stream reading"" , exceptIO ) ; } finally { try { if ( readerBuffered != null ) { readerBuffered . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing BufferedReader"" , exceptIO ) ; } try { if ( readerInputStream != null ) { readerInputStream . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing InputStreamReader"" , exceptIO ) ; } try { if ( socket != null ) { socket . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing Socket"" , exceptIO ) ; } } } } else { password = null ; } if ( true ) { if ( password != null ) { { Cipher aesCipher = Cipher . getInstance ( ""AES"" ) ; SecretKeySpec secretKeySpec = new SecretKeySpec ( ""ABCDEFGHABCDEFGH"" . getBytes ( ""UTF-8"" ) , ""AES"" ) ; aesCipher . init ( Cipher . DECRYPT_MODE , secretKeySpec ) ; password = new String ( aesCipher . doFinal ( password . getBytes ( ""UTF-8"" ) ) , ""UTF-8"" ) ; } Connection connection = null ; PreparedStatement preparedStatement = null ; ResultSet resultSet = null ; try { connection = DriverManager . getConnection ( ""data-url"" , ""root"" , password ) ; preparedStatement = connection . prepareStatement ( ""select * from test_table"" ) ; resultSet = preparedStatement . executeQuery ( ) ; } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error with database connection"" , exceptSql ) ; } finally { try { if ( resultSet != null ) { resultSet . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing ResultSet"" , exceptSql ) ; } try { if ( preparedStatement != null ) { preparedStatement . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing PreparedStatement"" , exceptSql ) ; } try { if ( connection != null ) { connection . close ( ) ; } } catch ( SQLException exceptSql ) { IO . logger . log ( Level . WARNING , ""Error closing Connection"" , exceptSql ) ; } } } } }",0
public void 7840F9W ( ) throws Throwable { goodG2B1 ( ) ; goodG2B2 ( ) ; goodB2G1 ( ) ; goodB2G2 ( ) ; },0
