input,label
"public void 26533RZ ( ) throws Throwable { String data ; data = """" ; { Socket socket = null ; BufferedReader readerBuffered = null ; InputStreamReader readerInputStream = null ; try { socket = new Socket ( ""host.example.org"" , 39544 ) ; readerInputStream = new InputStreamReader ( socket . getInputStream ( ) , ""UTF-8"" ) ; readerBuffered = new BufferedReader ( readerInputStream ) ; data = readerBuffered . readLine ( ) ; } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error with stream reading"" , exceptIO ) ; } finally { try { if ( readerBuffered != null ) { readerBuffered . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing BufferedReader"" , exceptIO ) ; } try { if ( readerInputStream != null ) { readerInputStream . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing InputStreamReader"" , exceptIO ) ; } try { if ( socket != null ) { socket . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing Socket"" , exceptIO ) ; } } } int numberOfLoops ; try { numberOfLoops = Integer . parseInt ( data ) ; } catch ( NumberFormatException exceptNumberFormat ) { IO . writeLine ( ""Invalid response. Numeric input expected. Assuming 1."" ) ; numberOfLoops = 1 ; } for ( int i = 0 ; i < numberOfLoops ; i ++ ) { IO . writeLine ( ""hello world"" ) ; } }",1
public void D8XOP1G ( ) throws Throwable { goodG2B ( ) ; goodB2G ( ) ; },0
"private void 64J7BING2B ( ) throws Throwable { String data ; data = ""5"" ; int numberOfLoops ; try { numberOfLoops = Integer . parseInt ( data ) ; } catch ( NumberFormatException exceptNumberFormat ) { IO . writeLine ( ""Invalid response. Numeric input expected. Assuming 1."" ) ; numberOfLoops = 1 ; } for ( int i = 0 ; i < numberOfLoops ; i ++ ) { IO . writeLine ( ""hello world"" ) ; } }",0
"private void PN5H4ODB2G ( ) throws Throwable { String data ; data = """" ; { Socket socket = null ; BufferedReader readerBuffered = null ; InputStreamReader readerInputStream = null ; try { socket = new Socket ( ""host.example.org"" , 39544 ) ; readerInputStream = new InputStreamReader ( socket . getInputStream ( ) , ""UTF-8"" ) ; readerBuffered = new BufferedReader ( readerInputStream ) ; data = readerBuffered . readLine ( ) ; } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error with stream reading"" , exceptIO ) ; } finally { try { if ( readerBuffered != null ) { readerBuffered . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing BufferedReader"" , exceptIO ) ; } try { if ( readerInputStream != null ) { readerInputStream . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing InputStreamReader"" , exceptIO ) ; } try { if ( socket != null ) { socket . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing Socket"" , exceptIO ) ; } } } int numberOfLoops ; try { numberOfLoops = Integer . parseInt ( data ) ; } catch ( NumberFormatException exceptNumberFormat ) { IO . writeLine ( ""Invalid response. Numeric input expected. Assuming 1."" ) ; numberOfLoops = 1 ; } if ( numberOfLoops >= 0 && numberOfLoops <= 5 ) { for ( int i = 0 ; i < numberOfLoops ; i ++ ) { IO . writeLine ( ""hello world"" ) ; } } }",0
"public void UNAFNX4 ( ) throws Throwable { String data ; if ( true ) { data = """" ; { Socket socket = null ; BufferedReader readerBuffered = null ; InputStreamReader readerInputStream = null ; try { socket = new Socket ( ""host.example.org"" , 39544 ) ; readerInputStream = new InputStreamReader ( socket . getInputStream ( ) , ""UTF-8"" ) ; readerBuffered = new BufferedReader ( readerInputStream ) ; data = readerBuffered . readLine ( ) ; } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error with stream reading"" , exceptIO ) ; } finally { try { if ( readerBuffered != null ) { readerBuffered . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing BufferedReader"" , exceptIO ) ; } try { if ( readerInputStream != null ) { readerInputStream . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing InputStreamReader"" , exceptIO ) ; } try { if ( socket != null ) { socket . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing Socket"" , exceptIO ) ; } } } } else { data = null ; } if ( true ) { int numberOfLoops ; try { numberOfLoops = Integer . parseInt ( data ) ; } catch ( NumberFormatException exceptNumberFormat ) { IO . writeLine ( ""Invalid response. Numeric input expected. Assuming 1."" ) ; numberOfLoops = 1 ; } for ( int i = 0 ; i < numberOfLoops ; i ++ ) { IO . writeLine ( ""hello world"" ) ; } } }",1
"private void 1G9FBWRG2B1 ( ) throws Throwable { String data ; if ( false ) { data = null ; } else { data = ""5"" ; } if ( true ) { int numberOfLoops ; try { numberOfLoops = Integer . parseInt ( data ) ; } catch ( NumberFormatException exceptNumberFormat ) { IO . writeLine ( ""Invalid response. Numeric input expected. Assuming 1."" ) ; numberOfLoops = 1 ; } for ( int i = 0 ; i < numberOfLoops ; i ++ ) { IO . writeLine ( ""hello world"" ) ; } } }",0
"private void 2GHMXTSG2B2 ( ) throws Throwable { String data ; if ( true ) { data = ""5"" ; } else { data = null ; } if ( true ) { int numberOfLoops ; try { numberOfLoops = Integer . parseInt ( data ) ; } catch ( NumberFormatException exceptNumberFormat ) { IO . writeLine ( ""Invalid response. Numeric input expected. Assuming 1."" ) ; numberOfLoops = 1 ; } for ( int i = 0 ; i < numberOfLoops ; i ++ ) { IO . writeLine ( ""hello world"" ) ; } } }",0
"private void 8QIVTYGB2G1 ( ) throws Throwable { String data ; if ( true ) { data = """" ; { Socket socket = null ; BufferedReader readerBuffered = null ; InputStreamReader readerInputStream = null ; try { socket = new Socket ( ""host.example.org"" , 39544 ) ; readerInputStream = new InputStreamReader ( socket . getInputStream ( ) , ""UTF-8"" ) ; readerBuffered = new BufferedReader ( readerInputStream ) ; data = readerBuffered . readLine ( ) ; } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error with stream reading"" , exceptIO ) ; } finally { try { if ( readerBuffered != null ) { readerBuffered . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing BufferedReader"" , exceptIO ) ; } try { if ( readerInputStream != null ) { readerInputStream . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing InputStreamReader"" , exceptIO ) ; } try { if ( socket != null ) { socket . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing Socket"" , exceptIO ) ; } } } } else { data = null ; } if ( false ) { IO . writeLine ( ""Benign, fixed string"" ) ; } else { int numberOfLoops ; try { numberOfLoops = Integer . parseInt ( data ) ; } catch ( NumberFormatException exceptNumberFormat ) { IO . writeLine ( ""Invalid response. Numeric input expected. Assuming 1."" ) ; numberOfLoops = 1 ; } if ( numberOfLoops >= 0 && numberOfLoops <= 5 ) { for ( int i = 0 ; i < numberOfLoops ; i ++ ) { IO . writeLine ( ""hello world"" ) ; } } } }",0
"private void VDFKOKTB2G2 ( ) throws Throwable { String data ; if ( true ) { data = """" ; { Socket socket = null ; BufferedReader readerBuffered = null ; InputStreamReader readerInputStream = null ; try { socket = new Socket ( ""host.example.org"" , 39544 ) ; readerInputStream = new InputStreamReader ( socket . getInputStream ( ) , ""UTF-8"" ) ; readerBuffered = new BufferedReader ( readerInputStream ) ; data = readerBuffered . readLine ( ) ; } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error with stream reading"" , exceptIO ) ; } finally { try { if ( readerBuffered != null ) { readerBuffered . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing BufferedReader"" , exceptIO ) ; } try { if ( readerInputStream != null ) { readerInputStream . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing InputStreamReader"" , exceptIO ) ; } try { if ( socket != null ) { socket . close ( ) ; } } catch ( IOException exceptIO ) { IO . logger . log ( Level . WARNING , ""Error closing Socket"" , exceptIO ) ; } } } } else { data = null ; } if ( true ) { int numberOfLoops ; try { numberOfLoops = Integer . parseInt ( data ) ; } catch ( NumberFormatException exceptNumberFormat ) { IO . writeLine ( ""Invalid response. Numeric input expected. Assuming 1."" ) ; numberOfLoops = 1 ; } if ( numberOfLoops >= 0 && numberOfLoops <= 5 ) { for ( int i = 0 ; i < numberOfLoops ; i ++ ) { IO . writeLine ( ""hello world"" ) ; } } } }",0
public void 8QMWOZ5 ( ) throws Throwable { goodG2B1 ( ) ; goodG2B2 ( ) ; goodB2G1 ( ) ; goodB2G2 ( ) ; },0
